participant_id,trust_item_1,trust_item_2,trust_item_3,trust_item_4,trust_item_5,trust_item_6,trust_ai,critical_evaluation,literacy_item_1_response,literacy_item_2_response,literacy_item_3_response,literacy_item_4_response,literacy_item_1_correct,literacy_item_2_correct,literacy_item_3_correct,literacy_item_4_correct,ai_literacy_proportion,political_ideology
P0307,1,1,1,1,1,2,1.1666666666666667,7,2,3,2,1,1,1,1,1,1,0
P0308,5,7,5,3,5,4,4.833333333333333,6,2,2,2,1,1,0,1,1,0.75,
P0309,3,5,1,1,1,1,2,7,2,3,2,1,1,1,1,1,1,1
P0310,4,4,3,1,1,3,2.6666666666666665,6,2,3,2,1,1,1,1,1,1,2
P0311,4,4,4,4,4,4,4,2,2,3,1,3,1,1,0,0,0.5,5
P0312,3,4,6,2,2,4,3.5,5,2,3,1,3,1,1,0,0,0.5,4
P0313,4,5,3,1,1,2,2.6666666666666665,6,1,3,2,1,0,1,1,1,0.75,4
P0314,4,5,2,2,2,2,2.8333333333333335,7,2,3,2,2,1,1,1,0,0.75,7
P0315,5,6,3,2,2,3,3.5,5,1,3,1,1,0,1,0,1,0.5,3
P0316,5,5,3,2,2,3,3.3333333333333335,7,2,3,2,1,1,1,1,1,1,8
P0317,5,6,4,2,4,4,4.166666666666667,6,1,2,2,1,0,0,1,1,0.5,6
P0318,5,5,2,1,1,4,3,3,2,3,3,2,1,1,0,0,0.5,7
P0319,4,4,2,4,4,3,3.5,4,2,2,3,1,1,0,0,1,0.5,3
P0320,6,6,4,1,3,4,4,3,1,3,2,1,0,1,1,1,0.75,
P0321,6,5,7,4,4,4,5,5,2,,,,1,,,,,2
P0322,3,6,4,4,3,4,4,6,2,3,2,1,1,1,1,1,1,2
P0323,3,5,2,1,2,2,2.5,6,1,3,2,1,0,1,1,1,0.75,1
P0324,6,7,4,4,4,4,4.833333333333333,5,3,3,3,1,0,1,0,1,0.5,3
P0325,4,5,2,1,1,1,2.3333333333333335,5,1,2,2,1,0,0,1,1,0.5,3
P0326,2,3,1,1,1,1,1.5,5,1,3,2,1,0,1,1,1,0.75,3
P0327,4,4,3,2,3,2,3,4,1,3,2,1,0,1,1,1,0.75,10
P0328,6,6,5,1,4,4,4.333333333333333,5,1,3,2,2,0,1,1,0,0.5,7
P0329,5,3,1,1,3,2,2.5,7,1,1,2,1,0,0,1,1,0.5,2
P0330,6,6,6,6,6,6,6,5,1,3,2,1,0,1,1,1,0.75,
P0331,5,5,2,2,2,2,3,7,2,3,2,1,1,1,1,1,1,5
P0332,5,3,5,1,3,3,3.3333333333333335,5,2,3,2,1,1,1,1,1,1,7
P0333,6,6,4,3,3,4,4.333333333333333,7,2,3,2,1,1,1,1,1,1,2
P0334,6,5,4,2,2,4,3.8333333333333335,3,2,2,,,1,0,,,,7
P0335,3,4,2,1,1,1,2,7,2,2,2,1,1,0,1,1,0.75,2
P0336,3,3,2,2,2,1,2.1666666666666665,6,2,2,2,1,1,0,1,1,0.75,6
P0337,4,5,3,2,2,2,3,6,2,3,2,1,1,1,1,1,1,2
P0338,6,6,4,2,2,4,4,5,2,3,1,3,1,1,0,0,0.5,2
P0339,5,5,4,3,4,4,4.166666666666667,5,2,3,2,1,1,1,1,1,1,3
P0340,3,2,4,1,1,1,2,5,1,1,2,1,0,0,1,1,0.5,3
P0341,3,6,4,1,2,4,3.3333333333333335,5,1,3,2,1,0,1,1,1,0.75,2
P0342,5,5,4,1,1,4,3.3333333333333335,2,1,2,2,1,0,0,1,1,0.5,5
P0343,5,5,2,2,2,2,3,3,2,3,4,2,1,1,0,0,0.5,3
P0344,3,3,1,1,1,4,2.1666666666666665,7,1,3,2,1,0,1,1,1,0.75,3
P0345,5,5,2,1,1,2,2.6666666666666665,7,2,3,2,1,1,1,1,1,1,1
P0346,6,5,1,1,1,1,2.5,6,2,2,2,1,1,0,1,1,0.75,4
P0347,4,5,5,4,4,4,4.333333333333333,5,2,3,2,2,1,1,1,0,0.75,4
P0348,7,7,7,5,4,4,5.666666666666667,4,2,3,2,1,1,1,1,1,1,7
P0349,3,4,4,4,4,4,3.8333333333333335,2,2,3,2,1,1,1,1,1,1,3
P0350,3,5,2,1,1,1,2.1666666666666665,7,2,3,2,1,1,1,1,1,1,2
P0351,2,5,2,2,2,2,2.5,7,2,3,2,1,1,1,1,1,1,3
P0352,4,6,5,3,4,4,4.333333333333333,5,2,2,2,1,1,0,1,1,0.75,8
P0353,6,6,6,4,4,4,5,2,2,3,2,1,1,1,1,1,1,1
P0354,5,5,5,4,4,4,4.5,6,2,3,2,1,1,1,1,1,1,0
P0355,5,5,4,2,4,5,4.166666666666667,6,2,3,,,1,1,,,,5
P0356,5,5,3,1,1,1,2.6666666666666665,6,1,3,2,1,0,1,1,1,0.75,0
P0357,4,3,1,1,1,1,1.8333333333333333,5,2,3,2,1,1,1,1,1,1,5
P0358,4,4,4,4,4,4,4,4,2,2,2,2,1,0,1,0,0.5,
